--##--- ######- --##### #####-- ####### ---#### ###--##
---#--- -#----# -#----# -#---#- -#----# -----#- -#--#--
---#--- -#----# #------ -#----# -#----- -----#- -#-#---
--#-#-- -#----# #------ -#----# -#-#--- -----#- -##----
--#-#-- -#####- #------ -#----# -###--- -----#- -##----
-#####- -#----# #------ -#----# -#-#--- -----#- -#-#---
-#---#- -#----# #------ -#----# -#----- -#---#- -#--#--
-#---#- -#----# -#----# -#---#- -#----# -#---#- -#---#-
###-### ######- --##### #####-- ####### --###-- ###--##
===
---#--- ######- --###-- #####-- ####### -----#- #----#-
---#--- #-----# -#---#- #----#- #------ -----#- #---#--
---#--- #-----# #-----# #-----# #------ -----#- #--#---
--#-#-- #-----# #------ #-----# #------ -----#- #-#----
--#-#-- ######- #------ #-----# #####-- -----#- ##-----
-#---#- #-----# #------ #-----# #------ -----#- #-#----
-#####- #-----# #-----# #-----# #------ -#---#- #--#---
-#---#- #-----# -#---#- #----#- #------ -#---#- #---#--
-#---#- ######- --###-- #####-- ####### --###-- #----#-
===
---#--- ######- --###-# #####-- ####### ----### ###--##
---#--- -#----# -#---## -#---#- -#----# -----#- -#---#-
--#-#-- -#----# #-----# -#----# -#--#-- -----#- -#--#--
--#-#-- -#####- #------ -#----# -####-- -----#- -#-#---
-#---#- -#----# #------ -#----# -#--#-- -----#- -##----
-#####- -#----# #------ -#----# -#----- -----#- -#-#---
#-----# -#----# #-----# -#----# -#----- -----#- -#--#--
#-----# -#----# -#---#- -#---#- -#----# -#---#- -#---#-
##---## ######- --###-- #####-- ####### --###-- ###--##
